batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
544,20:33:43,3.993,9.536,1.349,2.258,7.467,8.632,6.92,6.864,8.33,2.719
320,01:14:19,8.18,9.517,3.649,1.356,1.236,3.932,9.384,6.6,6.096,3.915
643,09:39:09,3.91,9.12,3.986,5.476,6.649,9.047,8.892,2.991,1.315,8.803
740,01:04:22,9.245,4.954,8.41,8.621,5.757,5.653,6.402,6.876,4.76,4.166
162,07:24:27,5.023,7.723,8.339,6.287,3.561,5.133,7.61,4.057,7.971,4.07
620,20:18:07,9.732,1.161,7.043,7.404,9.196,5.883,3.349,6.769,7.21,4.464
301,22:19:49,6.555,9.487,4.06,4.047,2.04,3.371,4.66,6.35,2.459,5.882
125,17:29:54,8.121,4.362,3.548,7.813,6.157,1.747,6.613,7.193,4.208,7.271
89,23:01:06,4.844,8.36,7.187,5.193,1.466,7.666,2.664,7.567,2.166,4.739
935,10:29:14,5.795,1.721,6.965,7.16,2.886,6.274,3.656,8.391,8.613,6.761
